lang,risk(ko),seed,expanded_neighbors
ko,지정학,제재,경제 발표 워싱턴 브뤼셀 행위 전략
ko,지정학,관세,부과 전격 베이징 워싱턴 양국 정상
ko,지정학,분쟁,무역 격화 화하다 워싱턴 정상 양국
ko,지정학,갈등,노사 화하다 격화 트럭 운전자 영국
ko,지정학,봉쇄,대규모 전략 조치 시행 물자 통관
ko,물류·운송,물류,영국 센터 노동자 부산 프랑스 정유
ko,물류·운송,운하,수에즈 파나마 해운업 선박 선사 좌초
ko,물류·운송,항만,들어가다 물류 서부 부산 선사 격리
ko,물류·운송,해운,노선 운임 파나마 운송 대기업 부산
ko,물류·운송,컨테이너,적체 수에즈 파나마 운하 선박 좌초
ko,물류·운송,운임,수에즈 운하 파나마 내륙 해운 두절
ko,물류·운송,지연,제기 가능성 일부 납기 경미하다 재고
ko,물류·운송,선박,좌초 수에즈 운하 내륙 해운업 두절
ko,자연재해,홍수,산업 기록 단지 강타 쓰촨 기상
ko,자연재해,태풍,강력 상륙 유럽 라인강 장기 지속
ko,자연재해,가뭄,지속 장기 기상 기록 강력 규모
ko,자연재해,산불,대형 일본 규슈 구조 홍수 기록
ko,자연재해,폭우,지대 침수 재난 기록 기상 강력
ko,공급자·생산,공장,완성 조사 부품 주력 협력 폐쇄
ko,공급자·생산,부품,화재 조사 사가 히로시마 소재 협력
ko,공급자·생산,반도체,라인 멈추다 대중 협력 조사 사가
ko,공급자·생산,생산,일정 생기다 인하다 조사 울산 텍사스
ko,공급자·생산,중단,가동 집단 감염 부품 화재 핵심
ko,공급자·생산,가동,집단 감염 화재 부품 조사 선전
ko,공급자·생산,납품,차단 전면 상하이항 상품 월간 구리
ko,금융·원자재,원자재,외환 인플레이션 중앙은행 에너지 시장 거래소
ko,금융·원자재,가격,구리 니켈 천연가스 치솟다 에너지 시장
ko,금융·원자재,급등,국제 유가 외환 에너지 원자재 시장
ko,금융·원자재,환율,급변 변동 동하 면서 런던 외환
ko,금융·원자재,인플레이션,원자재 심화 금속 런던 외환시장 외환
ko,금융·원자재,비용,거론 단기 부담 조달 상승 변동
ko,노동·파업,파업,돌입 임금 협상 태업 트럭 결렬
ko,노동·파업,노조,노동자 근로자 독일 서부 트럭 완성
ko,노동·파업,임금,협상 결렬 프랑스 정유 노사 트럭
ko,노동·파업,태업,트럭 들어가다 운전자 파업 임금 돌입
ko,보건·감염병,감염병,신종 도시 인도 방역 첸나이 집단
ko,보건·감염병,봉쇄,대규모 전략 조치 시행 물자 통관
ko,보건·감염병,격리,방역 들어가다 급증 진자 첸나이 인도
ko,보건·감염병,방역,격리 보건 인도 첸나이 가다 신종
en,지정학,sanction,fresh announce block clearance restrict chinese
en,지정학,tariff,steep impose trade eu chinese restrict
en,지정학,export,restrict tighten control eu russia trade
en,물류·운송,logistics,worker truck run shipping carrier industry
en,물류·운송,canal,suez shanghai panama vessel aground run
en,물류·운송,port,container entered shipping west pile coast
en,물류·운송,shipping,industry carrier inland container transport vessel
en,물류·운송,container,pile shipping industry freight vessel ship
en,물류·운송,freight,rate spike shipping container industry pile
en,물류·운송,delay,expect minor completely emerge postpone chain
en,자연재해,earthquake,strike wildfire super rhine rain japan
en,자연재해,flood,hit industrial cluster record rhine wildfire
en,자연재해,typhoon,make super landfall wildfire kyushu japan
en,자연재해,drought,prolong persist persisted weather rhine agency
en,자연재해,wildfire,super earthquake typhoon make landfall japan
en,공급자·생산,factory,zone submerge rain case torrential surge
en,공급자·생산,semiconductor,line go carmaker supplier part flagship
en,공급자·생산,production,slip schedule come completely operation postpone
en,공급자·생산,plant,supplier hiroshima fab maker giheung part
en,금융·원자재,commodity,energy inflation intensify central bank market
en,금융·원자재,price,crude copper nickel bank gas central
en,금융·원자재,surge,crude case oil price shut factory
en,금융·원자재,currency,swing sharply central energy bank benchmark
en,금융·원자재,inflation,intensify commodity energy global crude market
en,금융·원자재,cost,increase slight anticipate anticipated rise procurement
en,노동·파업,strike,launch earthquake slowdown face begin wildfire
en,노동·파업,union,dockworker autoworkers worker driver truck face
en,노동·파업,labor,face worsen dispute escalate union autoworkers
en,노동·파업,wage,saw talk collapse face dockworker truck
en,노동·파업,walkout,indefinite threaten slowdown begin west coast
en,보건·감염병,lockdown,sweep sweeping impose health novel outbreak
en,보건·감염병,outbreak,novel enter health sweep infection quarantine
en,보건·감염병,quarantine,entered health enter novel outbreak case
en,보건·감염병,infection,cluster novel outbreak asian enter sweep
